district_cd,District,Division,Budget_district_seq,block_cd_1,Block_Name,block_cd_2
2724,Raigarh ,Konkan,27,272409,Pen,272409
2735,Sangli,Pune,29,273507,Shirala,273507
2730,Solapur,Pune,32,273012,Solapur Urc-1,273012
2705,Akola,Amravati,2,270505,Murtizapur,270505
2709,Nagpur,Nagpur,19,270909,Nagpur (Gramin),270909
2706,Washim,Amravati,35,270601,Karanja Lad,270601
2715,Nanded,Aurangabad,20,271514,Himayat Nagar,271514
2717,Parbhani,Aurangabad,25,271706,Pathri,271706
2715,Nanded,Aurangabad,20,271504,Loha,271504
2733,Sindhudurg,Konkan,31,273303,Kankavli,273303
2717,Parbhani,Aurangabad,25,271707,Purna,271707
2727,Beed,Aurangabad,5,272707,Majalgaon,272707
2720,Nashik,Nashik,22,272003,Devla,272003
2720,Nashik,Nashik,22,272001,Baglan,272001
2721,Thane,Konkan,33,272114,Thane Mnc-Urc1,272114
2706,Washim,Amravati,35,270604,Manora,270604
2724,Raigarh ,Konkan,27,272406,Mhasala,272406
2722,Mumbai (BMC),Konkan,17,272212,Urc-12(Byculla),272201
2712,Gadchiroli,Nagpur,10,271208,Sironcha,271208
2719,Aurangabad,Aurangabad,4,271911,Urc2,271910
2716,Hingoli,Aurangabad,12,271605,Aundha Nagnath,271605
2721,Thane,Konkan,33,272120,Thane Mnc-Urc2,272120
2736,Palghar,Konkan,24,273619,Wada,273619
2701,Nandurbar,Nashik,21,270102,Navapur,270102
2704,Buldana,Amravati,7,270410,Nandura,270410
2707,Amravati,Amravati,3,270701,Achalpur,270701
2732,Ratnagiri,Konkan,28,273204,Khed,273204
2718,Jalna,Aurangabad,14,271801,Jalna,271801
2702,Dhule,Nashik,9,270203,Shindkheda,270203
2735,Sangli,Pune,29,273505,Miraj,273505
2731,Satara,Pune,30,273109,Phaltan,273109
2720,Nashik,Nashik,22,272011,Peint,272011
2734,Kolhapur,Pune,15,273401,Shahuwadi,273401
2703,Jalgaon,Nashik,13,270313,Parola,270313
2717,Parbhani,Aurangabad,25,271702,Jintur,271702
2736,Palghar,Konkan,24,273611,Palghar,273611
2726,Ahmednagar,Nashik,1,272609,Rahuri,272609
2713,Chandrapur,Nagpur,8,271302,Bhadrawati,271302
2724,Raigarh ,Konkan,27,272413,Shrivardhan,272413
2727,Beed,Aurangabad,5,272705,Georai,272705
2713,Chandrapur,Nagpur,8,271314,Pomburna,271314
2729,Osmanabad,Aurangabad,23,272905,Osmanabad,272905
2725,Pune,Pune,26,272511,Purandar,272511
2705,Akola,Amravati,2,270506,Patur,270506
2727,Beed,Aurangabad,5,272708,Parli,272708
2703,Jalgaon,Nashik,13,270315,Yawal,270315
2736,Palghar,Konkan,24,273613,Talasari,273613
2725,Pune,Pune,26,272505,Haveli,272505
2712,Gadchiroli,Nagpur,10,271207,Etapalli,271207
2710,Bhandara,Nagpur,6,271002,Mohadi,271002
2726,Ahmednagar,Nashik,1,272601,Akole,272601
2712,Gadchiroli,Nagpur,10,271206,Aheri,271206
2724,Raigarh ,Konkan,27,272414,Tala,272414
2724,Raigarh ,Konkan,27,272402,Karjat,272402
2732,Ratnagiri,Konkan,28,273207,Rajapur,273207
2710,Bhandara,Nagpur,6,271007,Pauni,271007
2703,Jalgaon,Nashik,13,270301,Amalner,270301
2709,Nagpur,Nagpur,19,270903,Kalmeshwar,270903
2730,Solapur,Pune,32,273006,Mangalwedha,273006
2709,Nagpur,Nagpur,19,270913,Bhiwapur,270913
2719,Aurangabad,Aurangabad,4,271901,Aurangabad,271901
2709,Nagpur,Nagpur,19,270914,Urc 1,270914
2720,Nashik,Nashik,22,272008,Nandgaon,272008
2722,Mumbai (BMC),Konkan,17,272205,Urc-5 (Santacruz),272201
2714,Yavatmal,Amravati,36,271402,Babhulgaon,271402
2731,Satara,Pune,30,273101,Jaoli,273101
2730,Solapur,Pune,32,273004,Madha,273004
2727,Beed,Aurangabad,5,272710,Shirur,272710
2715,Nanded,Aurangabad,20,271501,Nanded,271501
2704,Buldana,Amravati,7,270401,Buldana,270401
2712,Gadchiroli,Nagpur,10,271212,Desaiganj,271212
2731,Satara,Pune,30,273105,Khandala,273105
2703,Jalgaon,Nashik,13,270307,Dharangaon,270307
2709,Nagpur,Nagpur,19,270906,Ramtek,270906
2727,Beed,Aurangabad,5,272706,Kaij,272706
2725,Pune,Pune,26,272513,Velhe,272513
2722,Mumbai (BMC),Konkan,17,272211,Urc-11(Dadar),272203
2714,Yavatmal,Amravati,36,271404,Digras,271404
2714,Yavatmal,Amravati,36,271410,Pandharkawada,271410
2727,Beed,Aurangabad,5,272701,Ambajogai,272701
2735,Sangli,Pune,29,273501,Atpadi,273501
2734,Kolhapur,Pune,15,273405,Karveer,273405
